telegram_poll_id,question_id
5838958432039731971,דגשדגגדש
5838958432039731972,שדגשדג
5839417907641058243,דגשדגגדש
5838958432039731974,32
5838958432039731975,33
5839417907641058244,32
5839417907641058245,33
5837001082298958819,32
5837001082298958820,33
5838958432039731978,34
5838958432039731979,35
5839417907641058246,34
5839417907641058247,35
5837001082298958821,34
5837001082298958822,35
5838958432039731980,36
5838958432039731981,37
5838958432039731982,38
5839417907641058248,36
5839417907641058249,37
5839417907641058250,38
5837001082298958823,36
5837001082298958824,37
5837001082298958825,38
5838958432039731983,39
5838958432039731984,40
5839417907641058251,39
5839417907641058252,40
5837001082298958826,39
5837001082298958827,40
5838958432039731988,41
5838958432039731989,42
5839417907641058253,41
5839417907641058254,42
5837001082298958828,41
5837001082298958829,42
5838958432039731991,43
5838958432039731992,44
5838958432039731993,45
5839417907641058255,43
5839417907641058256,44
5839417907641058257,45
5837001082298958830,43
5837001082298958831,44
5837001082298958832,45
5838958432039731997,46
5838958432039731998,47
5838958432039731999,48
5839417907641058258,46
5839417907641058259,47
5839417907641058260,48
5837001082298958833,46
5837001082298958834,47
5837001082298958835,48
5838958432039732003,49
5838958432039732004,50
5839417907641058261,49
5839417907641058262,50
5837001082298958837,49
5837001082298958838,50
5838958432039732009,51
5838958432039732010,52
5838958432039732011,53
5839417907641058263,51
5839417907641058264,52
5839417907641058265,53
5837001082298958839,51
5837001082298958840,52
5837001082298958841,53
5838958432039732016,54
5838958432039732017,55
5838958432039732018,56
5839417907641058267,54
5839417907641058268,55
5839417907641058269,56
5837001082298958844,54
5837001082298958845,55
5837001082298958846,56
5838958432039732020,57
5838958432039732021,58
5839417907641058270,57
5839417907641058271,58
5837001082298958847,57
5837001082298958848,58
5838958432039732023,59
5838958432039732024,60
5839417907641058272,59
5839417907641058273,60
5837001082298958849,59
5837001082298958850,60
5838958432039732027,61
5838958432039732028,62
5839417907641058274,61
5839417907641058275,62
5837001082298958851,61
5837001082298958852,62
5838958432039732030,63
5838958432039732031,64
5839417907641058277,63
5839417907641058278,64
5837001082298958853,63
5837001082298958854,64
5838958432039732033,65
5838958432039732034,66
5839417907641058279,65
5839417907641058280,66
5837001082298958855,65
5837001082298958856,66
5838958432039732040,67
5838958432039732041,68
5839417907641058284,67
5839417907641058285,68
5839252882112643674,67
5839252882112643675,68
5838958432039732047,69
5838958432039732048,70
5838958432039732049,71
5838958432039732050,72
5839417907641058286,71
5839417907641058287,72
5839252882112643676,71
5839252882112643677,72
5838958432039732053,73
5838958432039732054,74
5839417907641058288,73
5839417907641058289,74
5839252882112643678,73
5839252882112643679,74
5838958432039732066,75
5838958432039732067,76
5839417907641058293,75
5839417907641058294,76
5839252882112643680,75
5839252882112643681,76
5838958432039732068,77
5838958432039732069,78
5839417907641058295,77
5839417907641058296,78
5839252882112643682,77
5839252882112643683,78
5841210231853417252,79
5841210231853417253,80
5839417907641058298,79
5839417907641058299,80
5839252882112643686,79
5839252882112643687,80
5841210231853417254,81
5841210231853417255,82
5839417907641058300,81
5839417907641058301,82
5839252882112643688,81
5839252882112643689,82
5841210231853417256,83
5841210231853417257,84
5839417907641058302,83
5839417907641058303,84
5839252882112643690,83
5839252882112643691,84
5841210231853417258,86
5839417907641058304,86
5839252882112643692,86
5841210231853417259,87
5841210231853417260,88
5839417907641058305,87
5839417907641058306,88
5839252882112643693,87
5839252882112643694,88
5841210231853417261,89
5841210231853417262,90
5841210231853417263,91
5839417907641058307,89
5839417907641058308,90
5839417907641058309,91
5839252882112643695,89
5839252882112643696,90
5839252882112643697,91
5841210231853417264,92
5841210231853417265,93
5841210231853417266,94
5839417907641058310,92
5839417907641058311,93
5839417907641058312,94
5839252882112643698,92
5839252882112643699,93
5839252882112643700,94
5841210231853417267,95
5841210231853417268,96
5841210231853417269,97
5839417907641058313,95
5839417907641058314,96
5839417907641058315,97
5839252882112643701,95
5839252882112643702,96
5839252882112643703,97
5841210231853417270,98
5841210231853417271,99
5839417907641058316,98
5839417907641058317,99
5839252882112643704,98
5839252882112643705,99
5841210231853417272,100
5841210231853417273,101
5841210231853417274,102
5839417907641058318,100
5839417907641058319,101
5839417907641058320,102
5839252882112643706,100
5839252882112643707,101
5839252882112643708,102
5841210231853417275,103
5841210231853417276,104
5841210231853417277,105
5839417907641058321,103
5839417907641058322,104
5839417907641058323,105
5839252882112643709,103
5839252882112643710,104
5839252882112643711,105
5841210231853417379,106
5841210231853417380,107
5841669707454743446,106
5841669707454743447,107
5839252882112643743,106
5839252882112643744,107
5841210231853417383,108
5841210231853417384,109
5841669707454743448,108
5841669707454743449,109
5841504681926329125,108
5841504681926329126,109
5841210231853417387,110
5841210231853417388,111
5841669707454743450,110
5841669707454743451,111
5841504681926329127,110
5841504681926329128,111
5841210231853417391,112
5841210231853417392,113
5841669707454743452,112
5841669707454743453,113
5841504681926329129,112
5841504681926329130,113
5841210231853417394,114
5841210231853417395,115
5841669707454743454,114
5841669707454743455,115
5841504681926329132,114
5841504681926329133,115
5841210231853417396,116
5841210231853417397,117
5841669707454743456,116
5841669707454743457,117
5841504681926329137,116
5841504681926329138,117
5841210231853417400,118
5841210231853417401,119
5841669707454743459,118
5841669707454743460,119
5841504681926329139,118
5841504681926329140,119
5841210231853417402,120
5841210231853417403,121
5841210231853417404,122
5841669707454743462,120
5841669707454743463,121
5841669707454743464,122
5841504681926329142,120
5841504681926329143,121
5841504681926329144,122
5841210231853417405,123
5841210231853417406,124
5841210231853417407,125
5841669707454743466,123
5841210231853417408,126
5841210231853417409,127
5841210231853417410,128
5841669707454743467,126
5841669707454743468,127
5841669707454743469,128
5841504681926329147,126
5841504681926329148,127
5841504681926329149,128
5843462031667102570,129
5843462031667102571,130
5843462031667102572,131
5841669707454743470,129
5841669707454743471,130
5841669707454743472,131
5841504681926329150,129
5841504681926329151,130
5841504681926329152,131
5843462031667102574,132
5843462031667102575,133
5843462031667102576,134
5841669707454743473,132
5841669707454743474,133
5841669707454743475,134
5841504681926329153,132
5841504681926329154,133
5841504681926329155,134
5843462031667102577,135
5843462031667102578,136
5843462031667102579,137
5841669707454743476,135
5841669707454743477,136
5841669707454743478,137
5841504681926329156,135
5841504681926329157,136
5841504681926329158,137
